label,n_obs,r_squared,adj_r2,f_stat,f_pvalue,aic,bic,variable,coef,std_err,t_stat,p_value,sig
M1: Univariate Sentiment,120,0.3007,0.2948,36.6914,0.0,-546.01,-540.43,const,0.001431,0.002152,0.6648,0.5075,
M1: Univariate Sentiment,120,0.3007,0.2948,36.6914,0.0,-546.01,-540.43,sentiment_score_mean,0.027045,0.004465,6.0573,0.0,***
M2: Guidance Signals,120,0.0119,-0.005,1.5165,0.2238,-502.52,-494.16,const,-0.007337,0.006503,-1.1282,0.2616,
M2: Guidance Signals,120,0.0119,-0.005,1.5165,0.2238,-502.52,-494.16,guidance_rate,0.01529,0.011755,1.3007,0.1959,
M2: Guidance Signals,120,0.0119,-0.005,1.5165,0.2238,-502.52,-494.16,guidance_score_mean,-0.006968,0.009153,-0.7613,0.448,
M3: Sentiment + Guidance,120,0.3051,0.2809,9.4682,0.0,-540.76,-526.82,const,-0.001595,0.005097,-0.3129,0.7549,
M3: Sentiment + Guidance,120,0.3051,0.2809,9.4682,0.0,-540.76,-526.82,sentiment_score_mean,0.022962,0.010317,2.2258,0.028,**
M3: Sentiment + Guidance,120,0.3051,0.2809,9.4682,0.0,-540.76,-526.82,guidance_score_mean,-0.005217,0.007607,-0.6858,0.4942,
M3: Sentiment + Guidance,120,0.3051,0.2809,9.4682,0.0,-540.76,-526.82,guidance_rate,0.006351,0.00884,0.7184,0.474,
M3: Sentiment + Guidance,120,0.3051,0.2809,9.4682,0.0,-540.76,-526.82,weighted_score_mean,0.003841,0.010095,0.3805,0.7043,
M4: Sentiment + Controls,120,0.3107,0.2741,9.0447,0.0,-537.73,-518.22,const,0.008544,0.013869,0.616,0.5391,
M4: Sentiment + Controls,120,0.3107,0.2741,9.0447,0.0,-537.73,-518.22,sentiment_score_mean,0.019574,0.010592,1.848,0.0672,*
M4: Sentiment + Controls,120,0.3107,0.2741,9.0447,0.0,-537.73,-518.22,guidance_score_mean,-0.006112,0.007997,-0.7643,0.4463,
M4: Sentiment + Controls,120,0.3107,0.2741,9.0447,0.0,-537.73,-518.22,guidance_rate,0.007009,0.008879,0.7894,0.4315,
M4: Sentiment + Controls,120,0.3107,0.2741,9.0447,0.0,-537.73,-518.22,weighted_score_mean,0.007575,0.009953,0.761,0.4482,
M4: Sentiment + Controls,120,0.3107,0.2741,9.0447,0.0,-537.73,-518.22,beta,-0.010178,0.011709,-0.8693,0.3865,
M4: Sentiment + Controls,120,0.3107,0.2741,9.0447,0.0,-537.73,-518.22,post_fx_unif,-0.000513,0.004359,-0.1178,0.9064,
M5: Full Model (Sector + Year FE),120,0.3819,0.2995,7.903,0.0,-534.81,-493.0,const,0.024923,0.014584,1.7089,0.0904,*
M5: Full Model (Sector + Year FE),120,0.3819,0.2995,7.903,0.0,-534.81,-493.0,sentiment_score_mean,0.021772,0.010885,2.0003,0.0481,**
M5: Full Model (Sector + Year FE),120,0.3819,0.2995,7.903,0.0,-534.81,-493.0,guidance_score_mean,-0.001593,0.007679,-0.2074,0.8361,
M5: Full Model (Sector + Year FE),120,0.3819,0.2995,7.903,0.0,-534.81,-493.0,guidance_rate,-0.001637,0.008611,-0.1901,0.8496,
M5: Full Model (Sector + Year FE),120,0.3819,0.2995,7.903,0.0,-534.81,-493.0,weighted_score_mean,0.004383,0.011057,0.3964,0.6926,
M5: Full Model (Sector + Year FE),120,0.3819,0.2995,7.903,0.0,-534.81,-493.0,beta,-0.014228,0.011256,-1.264,0.209,
M5: Full Model (Sector + Year FE),120,0.3819,0.2995,7.903,0.0,-534.81,-493.0,post_fx_unif,0.005401,0.003718,1.4527,0.1493,
M5: Full Model (Sector + Year FE),120,0.3819,0.2995,7.903,0.0,-534.81,-493.0,sec_Consumer Goods,-0.015064,0.008296,-1.8157,0.0723,*
M5: Full Model (Sector + Year FE),120,0.3819,0.2995,7.903,0.0,-534.81,-493.0,sec_Industrial,-0.016452,0.008386,-1.9619,0.0524,*
M5: Full Model (Sector + Year FE),120,0.3819,0.2995,7.903,0.0,-534.81,-493.0,sec_Oil & Gas,-0.017823,0.007252,-2.4577,0.0156,**
M5: Full Model (Sector + Year FE),120,0.3819,0.2995,7.903,0.0,-534.81,-493.0,sec_Telecoms,-0.018569,0.008897,-2.087,0.0393,**
M5: Full Model (Sector + Year FE),120,0.3819,0.2995,7.903,0.0,-534.81,-493.0,yr_2021,0.01245,0.00838,1.4858,0.1403,
M5: Full Model (Sector + Year FE),120,0.3819,0.2995,7.903,0.0,-534.81,-493.0,yr_2022,0.01312,0.006024,2.1781,0.0316,**
M5: Full Model (Sector + Year FE),120,0.3819,0.2995,7.903,0.0,-534.81,-493.0,yr_2023,1.5e-05,0.003601,0.0042,0.9966,
M5: Full Model (Sector + Year FE),120,0.3819,0.2995,7.903,0.0,-534.81,-493.0,yr_2024,0.005386,0.003434,1.5682,0.1199,
