ticker,company,sector,year,doc_type,source,pdf_path,text_path,page_count,full_text_chars,chairman_chars,ceo_chars,operating_chars,outlook_chars,extraction_status
FBNH,FBN Holdings Plc,Banking,,quarterly_results,company_ir,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\raw_pdfs\FBNH\FBNH_First_HoldCo_Plc_Q1_2026_Unaudited_Finan_ee424764.pdf,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\extracted_text\FBNH\FBNH_First_HoldCo_Plc_Q1_2026_Unaudited_Finan_ee424764.json,46,174252,0,0,0,0,ok
FBNH,FBN Holdings Plc,Banking,,earnings_release,company_ir,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\raw_pdfs\FBNH\FBNH_First_HoldCo_Plc_9M_2025_Unaudited_Finan_557fef83.pdf,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\extracted_text\FBNH\FBNH_First_HoldCo_Plc_9M_2025_Unaudited_Finan_557fef83.json,45,180203,0,0,0,0,ok
FBNH,FBN Holdings Plc,Banking,2021,interim_report,company_ir,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\raw_pdfs\FBNH\FBNH_FBN_Holdings_Plc_H1_2020_Results_Present_a63464af.pdf,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\extracted_text\FBNH\FBNH_FBN_Holdings_Plc_H1_2020_Results_Present_a63464af.json,27,23251,0,0,1388,6313,ok
FIDELITYBK,Fidelity Bank Plc,Banking,,annual_report,company_ir,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\raw_pdfs\FIDELITYBK\FIDELITYBK_Investor_Presentation_a24a14df.pdf,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\extracted_text\FIDELITYBK\FIDELITYBK_Investor_Presentation_a24a14df.json,35,33641,0,0,0,0,ok
FIDELITYBK,Fidelity Bank Plc,Banking,2024,annual_report,company_ir,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\raw_pdfs\FIDELITYBK\FIDELITYBK_Annual_Report_2024_27c8e547.pdf,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\extracted_text\FIDELITYBK\FIDELITYBK_Annual_Report_2024_27c8e547.json,346,830176,208,24999,0,3077,ok
FIDELITYBK,Fidelity Bank Plc,Banking,2023,annual_report,company_ir,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\raw_pdfs\FIDELITYBK\FIDELITYBK_Annual_Report_2023_7d55a9a0.pdf,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\extracted_text\FIDELITYBK\FIDELITYBK_Annual_Report_2023_7d55a9a0.json,348,705283,243,8496,0,12410,ok
FIDELITYBK,Fidelity Bank Plc,Banking,2020,annual_report,company_ir,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\raw_pdfs\FIDELITYBK\FIDELITYBK_Annual_Report_2020_5209d07c.pdf,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\extracted_text\FIDELITYBK\FIDELITYBK_Annual_Report_2020_5209d07c.json,296,616834,337,24999,0,2751,ok
FIDELITYBK,Fidelity Bank Plc,Banking,,annual_report,company_ir,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\raw_pdfs\FIDELITYBK\FIDELITYBK_Annual_Report_2019_492add82.pdf,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\extracted_text\FIDELITYBK\FIDELITYBK_Annual_Report_2019_492add82.json,137,559609,323,24999,0,3431,ok
FIDELITYBK,Fidelity Bank Plc,Banking,2020,annual_report,company_ir,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\raw_pdfs\FIDELITYBK\FIDELITYBK_Annual_Report_2018_4e0c6eb0.pdf,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\extracted_text\FIDELITYBK\FIDELITYBK_Annual_Report_2018_4e0c6eb0.json,254,549162,187,24997,0,551,ok
FIDELITYBK,Fidelity Bank Plc,Banking,2020,annual_report,company_ir,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\raw_pdfs\FIDELITYBK\FIDELITYBK_Annual_Report_2017_4ae688b0.pdf,C:\Users\USER\Desktop\DataQUry\ngx_collector\data\extracted_text\FIDELITYBK\FIDELITYBK_Annual_Report_2017_4ae688b0.json,113,467062,189,24999,0,2080,ok
